case,C,R,completed,failed,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,start_epoch,end_epoch,start_skew_ms,overlap_seconds,tail_seconds,blocking_events,compiler_artifact_changes,cache_miss_warnings
vllm-tp4,32,1,128,0,675.6204915524714,0.6597856362817104,194.00240466184914,1048576,131072,7122.5856794008,5040.273271035403,22832.64317279681,27138.40658395086,40.386271321922045,44.401041429306865,40.386271548120405,22.119561093859375,48437.74124172705,67206.54081583489,1789580654.5056612,1789580848.508066,4.718303680419922,193.9976863861084,0.004718275740742683,0,0,0
vllm-tp4,32,2,128,0,673.063150474754,0.657288232885502,194.73952764691785,1048576,131072,7295.267418186995,5047.005823813379,22780.352131137617,27061.255888305608,40.396873243851246,44.654368539204235,40.396873457531825,22.572763869538903,48621.26874664682,65783.1973018823,1789581424.516138,1789581619.2556658,3.719806671142578,194.7358078956604,0.0037197512574493885,0,0,0
vllm-tp4,32,3,128,0,679.4574396269127,0.6635326558856569,192.90685826027766,1048576,131072,7097.235749559331,5011.191174387932,22793.743900628753,27070.394995887767,40.14582315788638,44.24195579029637,40.14582340749867,22.016215813346207,48166.4128400771,66716.1855819635,1789582196.649197,1789582389.5560553,3.9968490600585938,192.90286135673523,0.003996903542429209,0,0,0
sglang-tp4,32,1,128,0,587.616951203657,0.5738446789098213,223.05687358323485,1048576,131072,7446.249480719416,4726.824395125732,25706.451110495243,30440.21827365272,47.15334730254002,51.31842878536537,47.15334752936782,25.166886928491294,55684.123771217855,78115.45909666455,1789580654.5103796,1789580877.567253,4.718303680419922,193.9976863861084,29.059187197126448,0,0,0
sglang-tp4,32,2,128,0,582.8284276928696,0.569168386418818,224.88951082713902,1048576,131072,7450.899797731836,4729.585828026757,25725.969238183454,30464.191748579036,47.59747863175829,51.77855392331249,47.597478868522074,25.83431736566126,56143.12043802056,78463.23983501643,1789581424.519858,1789581649.4093688,3.719806671142578,194.7358078956604,30.15370293147862,0,0,0
sglang-tp4,32,3,128,0,587.0438872492857,0.5732850461418806,223.27461855392903,1048576,131072,7455.355186688394,4736.671093152836,25731.388744176358,30470.48091011122,47.199592865505046,51.52874596574902,47.19959309104551,25.318890274502337,55740.53868810006,78352.64723214786,1789582196.653194,1789582419.9278126,3.9968490600585938,192.90286135673523,30.3717571971938,0,0,0
