engine,C,R,attempt,completed,failed,failure_count_inferred,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,started_epoch,finished_epoch,duration_s,measurement
vllm,32,1,1,128,0,False,706.9671964350949,0.6903976527686474,185.4003985770978,1048576,131072,7043.33065872197,4686.860964866355,20872.990244394165,24828.250505845066,38.361953694696204,42.46147443920024,38.361953912715336,22.16493440791964,46287.6092883962,62817.17038082424,1789578383.0868747,1789578568.4873013,185.4003985770978,cases/vllm-tp4/trials/r01/measurement-01
vllm,32,2,1,128,0,False,709.2196994053288,0.6925973627005164,184.81156136794016,1048576,131072,6876.148809311417,4681.136773899198,20840.503915026777,24796.451677246954,38.381452363858585,42.42936892048952,38.38145275782004,22.197592770680785,46140.37457753875,62711.37547241523,1789579159.254803,1789579344.0664191,184.81156136794016,cases/vllm-tp4/trials/r02/measurement-01
vllm,32,3,1,128,0,False,709.2280814084968,0.6926055482504851,184.80937717482448,1048576,131072,6877.638582733198,4680.417110212147,20893.315449566577,24851.909244935963,38.37995267175395,42.49439739402773,38.379952889253865,21.935302554629743,46140.330165937485,63164.53284255694,1789579942.7404554,1789580127.5498595,184.80937717482448,cases/vllm-tp4/trials/r03/measurement-01
sglang,32,1,1,128,0,False,567.6114401618705,0.5543080470330767,230.91853110399097,1048576,131072,7938.074239824346,5009.592234622687,27486.70517879072,32536.916461288933,48.595114036409484,53.16791909226542,48.59511425903743,25.35493243485689,57650.87589907125,81824.38422602136,1789578383.0868697,1789578614.0054502,230.91853110399097,cases/sglang-tp4/trials/r01/measurement-01
sglang,32,2,1,128,0,False,564.8508034539385,0.5516121127479868,232.0471161562018,1048576,131072,7903.0256552759965,4990.72283343412,27325.16250065527,32331.412293589678,48.90399934065197,53.21996393836561,48.9039995639058,25.485094427131116,57931.81698076296,81423.81551796569,1789579159.2547953,1789579391.301975,232.0471161562018,cases/sglang-tp4/trials/r02/measurement-01
sglang,32,3,1,128,0,False,567.8792410599268,0.5545695713475848,230.8096343781799,1048576,131072,7910.484436677507,4995.46844791621,27359.137914888553,32371.071268841624,48.595661755178625,53.3263899526811,48.59566197214512,25.65353496465832,57623.84641222525,81886.84033434838,1789579942.740457,1789580173.5501404,230.8096343781799,cases/sglang-tp4/trials/r03/measurement-01
