mode,phase,round,completed,failed_inferred,events,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms
pd,warmup,warmup-01,128,False,60,507.1715685859286,0.4952847349471959,258.4371997930575,1042149,131072,28676.027634567617,27724.314432474785,44599.19590476784,46997.3107726092,31.711141994437973,47.33685630565172,31.71114276295922,27.0687019219622,61116.52589487767,74977.5531385094
pd,measurement,measurement-01,128,False,72,629.4559949353741,0.6147031200540762,208.23060079594143,1042149,131072,20135.38242130653,24309.048101480585,30505.43438582681,32741.930529455425,25.96134755332412,32.26920534161426,25.96134821278424,27.265801170142364,46693.84096835711,59694.71821094048
pd,measurement,measurement-02,128,False,36,750.3003759771751,0.7327152109152101,174.69270201190375,1042149,131072,13986.835287278154,13422.34708997421,30117.2861514613,32322.41251781234,26.676966416572522,29.49623413888541,26.6769669686687,27.4262661463581,41277.371931431844,59492.80365627492
pd,measurement,measurement-03,128,False,12,863.9719685853438,0.8437226255716248,151.70862570300233,1042149,131072,6879.362139009572,1460.725866490975,19972.23429672303,23042.25932797417,27.978924002388695,30.06943099151565,27.978924472365414,27.579791826428846,35501.80139345321,50191.590099706074
ordinary,warmup,warmup-01,128,False,408,350.17060257372253,0.3419634790759009,374.30897692905273,1042149,131072,11753.628793489952,8936.841995979194,28531.30486499285,39390.84854625748,78.11545406200986,166.99743015751494,78.11545446932924,26.72270407783799,91665.73829892604,185486.72908540463
ordinary,measurement,measurement-01,128,False,120,604.081309158042,0.5899231534746504,216.97741349204443,1042149,131072,6056.88215432383,1937.788984971121,26581.998593499884,27202.609881809913,43.09824290791294,92.70832607250516,43.09824349163696,26.3085360173136,50146.38464911877,98546.34153062361
ordinary,measurement,measurement-02,128,False,120,591.3373385050385,0.5774778696338266,221.65351562504657,1042149,131072,5575.4192575550405,1767.9222950828262,26145.203950040737,31590.776028081313,46.93098086409275,113.38405494338866,46.93098129688599,26.371109863976013,53585.81268152193,117277.07482897675
ordinary,measurement,measurement-03,128,False,24,850.8458197826754,0.830904120881519,154.0490614779992,1042149,131072,3133.957826423284,1577.824522042647,11489.308334235102,14602.93402964948,32.56516468486966,53.337955882864755,32.56516525368257,24.216036457801238,36448.12129904494,55944.629840011476
