node,run_id,configuration,dataset,protocol,phase,round,accepted,protocol_status,case_status,known_event_lines,started_at,finished_at,duration_s,completed,failed,total_input_tokens,total_output_tokens,output_throughput,request_throughput,mean_ttft_ms,p95_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,spec_decode_acceptance_rate,spec_decode_acceptance_length,study_phase,tp,dp,ep,num_speculative_tokens,spec_stats_source,draft_tokens,accepted_draft_tokens,verification_steps,acceptance_length_includes_bonus,accepted_tokens_by_position,kv_capacity_tokens_min_per_rank,kv_cache_usage_peak_pct,preemptions_delta
46,core-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,1,false,PASS,PASS,72,2026-09-19T20:27:07.414394+00:00,2026-09-19T20:33:14.918718+00:00,342.0230480758473,128,0,1042149,131072,383.22563563299207,0.3742437847978438,13500.944226143474,36976.086393790225,66.49675931306311,93.97165312182307,66.49675968972016,28.504978166893125,81527.12900340703,124079.7356100753,,,core,2,2,on,0,,,,,,,78014,23.591329335332333,0
46,core-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,2,false,PASS,PASS,60,2026-09-19T20:33:14.919435+00:00,2026-09-19T20:37:37.850623+00:00,236.46796515025198,128,0,1042149,131072,554.2907256664416,0.5412995367836344,6350.9640093834605,16013.507649768144,48.265835711459,71.31540233689022,48.26583599780313,28.37128327228129,55726.91394220601,83684.35494690202,,,core,2,2,on,0,,,,,,,78014,23.52886056971514,0
46,core-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,3,false,PASS,PASS,30,2026-09-19T20:37:37.852779+00:00,2026-09-19T20:41:49.341150+00:00,225.77898774296045,128,0,1042149,131072,580.5323219414013,0.5669260956458997,5794.55767689069,22123.20266310113,46.14449903612449,60.78722967605998,46.144499456216806,28.498720144852992,53000.380190846045,66434.83438803814,,,core,2,2,on,0,,,,,,,78014,23.57883558220889,0
46,core-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,4,false,PASS,PASS,36,2026-09-19T20:41:49.342293+00:00,2026-09-19T20:46:00.769273+00:00,225.48468961194158,128,0,1042149,131072,581.2900211787083,0.5676660363073324,5345.791719999397,12290.958423446864,46.565545634840824,61.2982800503499,46.565545871775306,28.292618039995432,52982.34490444156,67216.640017787,,,core,2,2,on,0,,,,,,,78014,23.52886056971514,0
46,core-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,5,false,PASS,PASS,22,2026-09-19T20:46:00.770835+00:00,2026-09-19T20:49:36.548872+00:00,190.44887014199048,128,0,1042149,131072,688.2267135650548,0.6720963999658738,5300.672122386459,12344.047688599676,38.020512103706515,49.34687844535858,38.020512355249814,28.345864824950695,44195.65600447822,54557.840778073296,,,core,2,2,on,0,,,,,,,78014,23.572588705647178,0
46,core-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,6,false,PASS,PASS,18,2026-09-19T20:49:36.550486+00:00,2026-09-19T20:53:05.637475+00:00,183.5723221534863,128,0,1042149,131072,714.0074193233206,0.6972728704329303,4604.918365133926,10721.970274113119,40.31719362071698,58.77925302739549,40.31719399334842,28.40684955008328,45849.40743912739,70843.93280325457,,,core,2,2,on,0,,,,,,,78014,23.57883558220889,0
46,core-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,7,true,PASS,PASS,0,2026-09-19T20:53:05.638846+00:00,2026-09-19T20:56:26.697538+00:00,173.6803387729451,128,0,1042149,131072,754.673792819764,0.7369861258005508,4607.172834184894,11234.603388840325,34.57145799277247,37.225059957725094,34.57145839536124,28.44712794758379,39973.77436079114,46094.44123832509,,,core,2,2,on,0,,,,,,,78014,23.58508245877061,0
46,core-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,8,false,PASS,PASS,4,2026-09-19T20:56:26.699097+00:00,2026-09-19T20:59:51.981694+00:00,179.81918636802584,128,0,1042149,131072,728.9099825629413,0.7118261548466224,5113.185470938333,11951.802696147928,35.11982536979691,37.541974852597185,35.11982583326758,28.386828303337097,41040.76682424056,47886.42006362788,,,core,2,2,on,0,,,,,,,78014,23.53510744627686,0
46,core-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,9,false,PASS,PASS,4,2026-09-19T20:59:51.983698+00:00,2026-09-19T21:03:12.158770+00:00,174.11725308094174,128,0,1042149,131072,752.780081702005,0.7351367985371142,4690.52206055494,11506.520818779245,34.664231320089876,37.133544494233156,34.66423170477679,28.463597176596522,40152.03070100688,46759.03331390581,,,core,2,2,on,0,,,,,,,78014,23.522613693153428,0
46,core-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,10,true,PASS,PASS,0,2026-09-19T21:03:12.163502+00:00,2026-09-19T21:06:41.684287+00:00,184.0130900517106,128,0,1042149,131072,712.2971521382891,0.695602687635048,5673.246327358356,12389.886209974062,35.78024087984134,38.55270763539608,35.78024128545997,28.441719990223646,42276.43274743605,49183.47577620297,,,core,2,2,on,0,,,,,,,78014,23.544477761119442,0
46,core-off-01,tp2-dp2-epon-off,govreport,jit_clean,measurement,11,true,PASS,PASS,0,2026-09-19T21:06:41.687306+00:00,2026-09-19T21:10:03.524770+00:00,175.76477809809148,128,0,1042149,131072,745.7239238617582,0.7282460193962482,4703.298499516677,11231.137006077908,35.028093560243,37.63829108385892,35.02809404967384,28.630771161988378,40537.03821164527,47067.27582798339,,,core,2,2,on,0,,,,,,,78014,23.58508245877061,0
