node,run_id,configuration,dataset,protocol,phase,round,accepted,protocol_status,case_status,known_event_lines,started_at,finished_at,duration_s,completed,failed,total_input_tokens,total_output_tokens,output_throughput,request_throughput,mean_ttft_ms,p95_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,spec_decode_acceptance_rate,spec_decode_acceptance_length,study_phase,tp,dp,ep,num_speculative_tokens,spec_stats_source,draft_tokens,accepted_draft_tokens,verification_steps,acceptance_length_includes_bonus,accepted_tokens_by_position,kv_capacity_tokens_min_per_rank,kv_cache_usage_peak_pct,preemptions_delta
46,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,1,false,PARTIAL,PARTIAL,134,2026-09-20T04:56:58.062079+00:00,2026-09-20T05:03:18.406454+00:00,354.7962118256837,128,0,1042149,131072,369.42897255170664,0.360770481007526,11276.35365111928,32453.42259886674,73.47466340480268,173.55494352288815,218.27365990681318,631.5682590473443,86440.93431423244,205390.8379720524,65.79321505815449,2.9737964517446347,core,2,2,on,3,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,132234,87001,44078,true,"[36864,29077,21060]",65099,28.27144782153017,0.0
46,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,2,false,PARTIAL,PARTIAL,16,2026-09-20T05:03:18.407163+00:00,2026-09-20T05:06:29.352756+00:00,165.32852064911276,128,0,1042149,131072,792.7972710660276,0.7742160850254176,3655.5018458893755,11295.641807140777,35.22426260672156,56.29455919249141,104.84170289009037,626.837224047631,39689.92249256553,68196.83930403551,65.99384764589111,2.979815429376733,core,2,2,on,3,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,131982,87100,43994,true,"[36703,29199,21198]",65099,28.091780206617756,0.0
46,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,3,false,PARTIAL,PARTIAL,2,2026-09-20T05:06:29.353893+00:00,2026-09-20T05:09:28.163765+00:00,152.7777171395719,128,0,1042149,131072,857.9261586966744,0.8378185143522211,3597.047717696114,12372.31068839319,32.2704173196052,50.62813914776073,96.71597275648482,626.5169195830822,36609.68463565223,58800.17445576377,66.6720072020935,3.0001602160628047,core,2,2,on,3,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,131073,87389,43691,true,"[36851,29210,21328]",65099,28.230273993112743,0.0
46,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,4,false,PARTIAL,PARTIAL,20,2026-09-20T05:09:28.164936+00:00,2026-09-20T05:12:34.545753+00:00,161.05644850898534,128,0,1042149,131072,813.8264640343631,0.7947524062835577,3743.40424840193,11321.612967085086,34.17715517264652,57.89675555503285,103.20534699361524,622.5122397765517,38706.63399001933,66847.24147715604,67.44690173650348,3.023407052095104,core,2,2,on,3,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,130089,87741,43363,true,"[37055,29347,21339]",65099,28.28267704746219,0.0
46,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,5,false,PARTIAL,PARTIAL,2,2026-09-20T05:12:34.547251+00:00,2026-09-20T05:15:18.742783+00:00,138.9642984624952,128,0,1042149,131072,943.2062871556521,0.9210998898004416,3063.3143027152983,10875.015151733533,29.207240744076095,40.97394581901443,86.45116287912867,615.6339195556933,32942.32158390514,47018.46859296782,65.43999638328172,2.9631998914984514,core,2,2,on,3,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,132717,86850,44239,true,"[36664,29076,21110]",65099,28.38374008085043,0.0
46,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,6,false,PARTIAL,PARTIAL,8,2026-09-20T05:15:18.744419+00:00,2026-09-20T05:18:29.289677+00:00,163.72984481975436,128,0,1042149,131072,800.5382289605999,0.7817756142193358,3757.362807642494,12153.050224995233,34.79715329704156,60.71757530148995,103.17178026621372,630.1053818315268,39354.85063051601,68466.96546478197,65.60169670621623,2.9680509011864866,core,2,2,on,3,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,132492,86917,44164,true,"[36906,29031,20980]",65099,28.27144782153017,0.0
46,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,7,false,PARTIAL,PARTIAL,18,2026-09-20T05:18:29.291400+00:00,2026-09-20T05:21:37.525695+00:00,162.8528681769967,128,0,1042149,131072,804.8491958860948,0.7859855428575144,3661.5944462973857,11673.179410398006,34.76522868158733,62.39133350754143,103.66157726041669,625.7904686033725,39226.423387561226,69376.36987580916,66.1816387718699,2.985449163156097,core,2,2,on,3,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,131745,87191,43915,true,"[36836,29144,21211]",65099,28.27519089684084,0.0
46,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,8,false,PARTIAL,PARTIAL,14,2026-09-20T05:21:37.527568+00:00,2026-09-20T05:24:48.439562+00:00,165.3275736933574,128,0,1042149,131072,792.8018120141701,0.774220519545088,3463.3374301629374,11399.075594684102,35.391891700148385,59.06347779034548,104.77619606765127,626.539709046483,39669.24263941473,61771.298435749486,65.4744410029165,2.964233230087495,core,2,2,on,3,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,132693,86880,44231,true,"[36771,29068,21041]",65099,28.2976493487049,0.0
46,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,9,false,PARTIAL,PARTIAL,10,2026-09-20T05:24:48.441064+00:00,2026-09-20T05:27:32.699421+00:00,138.20457106176764,128,0,1042149,131072,948.391207273601,0.926163288353126,3260.9069230238674,11437.68948861397,28.805029155960867,38.28666233503144,86.5499266210863,627.313547162339,32728.451749571832,45265.003731707104,66.92060578246902,3.0076181734740706,core,2,2,on,3,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,130740,87492,43580,true,"[36847,29269,21376]",65099,28.394969306782446,0.0
46,dpfix-tp2-dp2-epon-k3-01,tp2-dp2-epon-k3,govreport,jit_clean,measurement,10,true,PARTIAL,PARTIAL,0,2026-09-20T05:27:32.700902+00:00,2026-09-20T05:30:15.818409+00:00,136.78065941575915,128,0,1042149,131072,958.2641329545935,0.9358048173384702,2854.252164288482,10872.827623737976,29.671421926114416,40.29771600848105,87.56383068943786,619.0924569964409,33208.11679470353,46340.907934680574,65.13939284667914,2.9541817854003742,core,2,2,on,3,prometheus_window_delta:engine=0+1;idle_boundaries;probe_excluded,133113,86709,44371,true,"[36667,28915,21127]",65099,28.3126216499476,0.0
