engine,C,R,attempt,completed,failed,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,request_start_utc,request_end_utc
vllm,32,1,2,128,0,700.3178234511022,0.683904124463967,187.16073704091832,1048576,131072,6869.681423951988,4673.497709911317,20875.887465407137,24832.9410761036,38.96165390211938,43.20385664544875,38.96165413288743,23.25085566844791,46727.45336582011,63181.669525173485,2026-09-16T17:19:00.330185+00:00,2026-09-16T17:22:07.489759+00:00
vllm,32,2,1,128,0,706.4355088453701,0.6898784266068068,185.5399372749962,1048576,131072,6880.795170691272,4674.241150030866,20843.301555165082,24790.187072567645,38.556053918448626,42.57463834226634,38.556054146634885,22.280557896010578,46323.63832926421,62720.8899998106,2026-09-16T17:32:01.801520+00:00,2026-09-16T17:35:07.340313+00:00
vllm,32,3,1,128,0,708.6553659248744,0.6920462557860102,184.95873495424166,1048576,131072,7030.699101742357,5424.025425920263,20844.420144939788,24793.394886422906,38.266868065666394,42.4211652342454,38.26686829502619,22.331666317768395,46177.70513291907,62960.87491156067,2026-09-16T17:45:18.099608+00:00,2026-09-16T17:48:23.057104+00:00
sglang,32,1,2,128,0,566.1325405073588,0.5528638090892176,231.52175616426393,1048576,131072,7912.206893779512,5026.1337456759065,27329.334645462215,32350.38396257907,48.76865899676196,53.43709477405077,48.76865929278959,25.52327844314277,57802.54504746699,81955.89901073834,2026-09-16T17:18:59.635337+00:00,2026-09-16T17:22:51.156008+00:00
sglang,32,2,1,128,0,564.195326430834,0.5509719984676114,232.31670639524236,1048576,131072,7900.531774561387,5007.359333336353,27344.9695768766,32388.20395841264,48.9741256127155,53.411557715165834,48.97412582829153,25.824059615842998,58001.06227636934,81797.53780351019,2026-09-16T17:32:01.136183+00:00,2026-09-16T17:35:53.451780+00:00
sglang,32,3,1,128,0,564.670909918185,0.5514364354669775,232.12104200478643,1048576,131072,7900.651163290604,5009.341226890683,27283.821030776006,32300.29938244261,48.925236695490774,53.27080938125708,48.925236929750994,25.46013630926609,57951.16830277766,81554.49684325139,2026-09-16T17:45:17.389581+00:00,2026-09-16T17:49:09.509531+00:00
