case,group,C,services,GPUs,round,requests,completed,failed,output_tok_s,ttft_s,tpot_ms,p95_ttft_s,p95_tpot_ms,e2el_s,mean_itl_ms,p95_itl_ms,goodput_req_s,joint_slo,jit_events,input_tokens,output_tokens,D_computed_input,D_remote_hits,NIXL_bytes,raw_local_path
P128,pd,128,4,16,measurement-01,512,512,0,3059.912878508236,11.620662947251049,27.50600125475653,33.00860045685548,32.86339032434369,39.75930223086697,92.90752135635775,212.98570527578698,2.2469834484589977,0.751953125,0,8388608,524288,0.0,8388608.0,88261263360.0,experiments/dsv4-night-20260923/pd/results/P128-01/benchmark/c128/measurement-01
P128,pd,128,4,16,measurement-02,512,512,0,3078.379979754601,11.780882714914014,27.319599193276368,32.94164337323162,32.95476673268677,39.72883268963574,91.81076624211329,209.6118811983614,2.0609118898274708,0.685546875,0,8388608,524288,0.0,8388608.0,88261263360.0,experiments/dsv4-night-20260923/pd/results/P128-01/benchmark/c128/measurement-02
P128,pd,128,4,16,measurement-03,512,512,0,3063.460743026409,11.765858657528497,27.28759079670115,33.0070924719097,32.63981651723247,39.68106404255377,92.8102011762178,213.23044775635935,2.0100221550008484,0.671875,0,8388608,524288,0.0,8388608.0,88261263360.0,experiments/dsv4-night-20260923/pd/results/P128-01/benchmark/c128/measurement-03
P144,pd,144,4,16,measurement-01,576,576,0,3186.311975833753,14.300579004415745,28.062006278795053,36.11568272445584,33.81043988419287,43.00801142762308,94.42856990689948,210.21960850339383,0.8373317400686165,0.2690972222222222,0,9437184,589824,0.0,9437184.0,99293921280.0,experiments/dsv4-night-20260923/pd/results/P144-01/benchmark/c144/measurement-01
P144,pd,144,4,16,measurement-02,576,576,0,3182.1879238899664,13.897587948968066,28.20460560716234,36.31135126351728,33.813707910555266,42.75089948509513,95.33524737315625,209.32668788591397,1.1383762816378835,0.3663194444444444,0,9437184,589824,0.0,9437184.0,99293921280.0,experiments/dsv4-night-20260923/pd/results/P144-01/benchmark/c144/measurement-02
P144,pd,144,4,16,measurement-03,576,576,0,3180.9622377899577,14.286005113710214,27.904562265048007,37.019110701279715,33.36553040663493,42.832372310854325,94.17789893010445,214.56797643913885,1.0570417592482364,0.3402777777777778,0,9437184,589824,0.0,9437184.0,99293921280.0,experiments/dsv4-night-20260923/pd/results/P144-01/benchmark/c144/measurement-03
P96,pd,96,4,16,measurement-01,384,384,0,2571.4425580753636,8.959882950135276,25.899048222081195,25.445323856332106,30.752517713432063,35.45460928132434,87.0552680891111,189.84900954528703,1.9880130453870406,0.7916666666666666,0,6291456,393216,0.0,6291456.0,66195947520.0,experiments/dsv4-night-20260923/pd/results/P96-01/benchmark/c96/measurement-01
P96,pd,96,4,16,measurement-02,384,384,0,2568.038213168185,8.611100765141297,26.536562040085347,25.572284612513606,31.589785764503212,35.75800373214861,88.85905260636194,210.02697669318843,1.991911964457948,0.7942708333333334,0,6291456,393216,0.0,6291456.0,66195947520.0,experiments/dsv4-night-20260923/pd/results/P96-01/benchmark/c96/measurement-02
P96,pd,96,4,16,measurement-03,384,384,0,2608.222310511184,8.799993516991284,25.959344842607408,25.62150756234186,30.892280379368515,35.356403290978655,87.602002505471,210.5987425660714,2.0230809649299903,0.7942708333333334,0,6291456,393216,0.0,6291456.0,66195947520.0,experiments/dsv4-night-20260923/pd/results/P96-01/benchmark/c96/measurement-03
O128,ordinary,128,4,16,measurement-01,512,512,0,2396.1193788271717,6.292588002916773,45.8395197202022,24.693101719371043,67.40034395978032,53.18641667668362,154.97689528320262,1326.7250512901228,1.0237326447625854,0.4375,0,8388608,524288,0,0,0,experiments/dsv4-night-20260923/ordinary/results/O128-01/benchmark/c128/measurement-01
O128,ordinary,128,4,16,measurement-02,512,512,0,2392.8968277756676,6.40647256434886,45.42462334094274,24.656131128704875,66.60408747733187,52.87586224213329,153.09097540501938,1325.7891652174294,0.9858431144705663,0.421875,0,8388608,524288,0,0,0,experiments/dsv4-night-20260923/ordinary/results/O128-01/benchmark/c128/measurement-02
O128,ordinary,128,4,16,measurement-03,512,512,0,2398.2085871626864,6.390325315357131,45.675310352821086,24.67098706754041,65.23232995192197,53.1161678062931,154.39083346762447,1326.8257869058289,1.038347910472736,0.443359375,0,8388608,524288,0,0,0,experiments/dsv4-night-20260923/ordinary/results/O128-01/benchmark/c128/measurement-03
O144,ordinary,144,4,16,measurement-01,576,576,0,2453.004995545911,6.760827496594276,50.803614025038385,28.021705488528823,73.78994337533317,58.73292464420855,171.7031449909305,1331.9280797149984,0.7444388397262879,0.3107638888888889,0,9437184,589824,0,0,0,experiments/dsv4-night-20260923/ordinary/results/O144-01/benchmark/c144/measurement-01
O144,ordinary,144,4,16,measurement-02,576,576,0,2464.511883039841,6.804859593178561,50.346800184103564,27.91922879050253,72.93518671210818,58.3096361815165,170.02952536770144,1332.1397852967493,0.7479309540882222,0.3107638888888889,0,9437184,589824,0,0,0,experiments/dsv4-night-20260923/ordinary/results/O144-01/benchmark/c144/measurement-02
O144,ordinary,144,4,16,measurement-03,576,576,0,2447.162908326486,6.747657556556078,50.671888761431234,27.952045219833963,73.0535235757635,58.58499975950023,171.31690470847911,1331.6508310032077,0.7426658809923655,0.3107638888888889,0,9437184,589824,0,0,0,experiments/dsv4-night-20260923/ordinary/results/O144-01/benchmark/c144/measurement-03
O96,ordinary,96,4,16,measurement-01,384,384,0,2167.2270825998503,5.201541949873293,37.1763791806057,19.579946469218704,54.62270424647103,43.23297785163292,125.19671445702399,1329.3814616277814,1.5597668059686218,0.7369791666666666,0,6291456,393216,0,0,0,experiments/dsv4-night-20260923/ordinary/results/O96-01/benchmark/c96/measurement-01
O96,ordinary,96,4,16,measurement-02,384,384,0,2187.9321083117925,5.125309603768376,37.503493646900594,19.573809727554906,55.589534887449474,43.491383604547686,126.58915611246921,1330.9792350046337,1.5746683417059255,0.7369791666666666,0,6291456,393216,0,0,0,experiments/dsv4-night-20260923/ordinary/results/O96-01/benchmark/c96/measurement-02
O96,ordinary,96,4,16,measurement-03,384,384,0,2220.9293491875696,5.277000962134177,36.996750694596784,19.62754866572213,53.19225325590302,43.12467692270669,125.04523644977428,1325.2154862275347,1.649249699815802,0.7604166666666666,0,6291456,393216,0,0,0,experiments/dsv4-night-20260923/ordinary/results/O96-01/benchmark/c96/measurement-03
G96,graph-control,96,4,16,measurement-01,384,384,0,1429.3424534907585,7.126689521954177,57.329169903436316,26.042675482068436,72.211049631466,65.77443033316953,192.10560877647663,234.75915502058342,0.2798954491139435,0.20052083333333334,0,6291456,393216,0.0,6291456.0,66195947520.0,experiments/dsv4-night-20260923/graph-control/results/G96-01/benchmark/c96/measurement-01
G96,graph-control,96,4,16,measurement-02,384,384,0,1486.1726269014962,7.304543845540745,54.9875863849073,26.089958274376105,71.81546467366398,63.55684471730092,184.0864120639682,232.77773999143392,0.3401579193652716,0.234375,0,6291456,393216,0.0,6291456.0,66195947520.0,experiments/dsv4-night-20260923/graph-control/results/G96-01/benchmark/c96/measurement-02
G96,graph-control,96,4,16,measurement-03,384,384,0,1526.0008745244866,7.241956385690173,53.02671210118868,26.157020877412286,67.15473546241412,61.4882828652062,177.7976042587649,231.17287440691143,0.39196291180158777,0.2630208333333333,0,6291456,393216,0.0,6291456.0,66195947520.0,experiments/dsv4-night-20260923/graph-control/results/G96-01/benchmark/c96/measurement-03
O5C144,ratio20,144,5,20,measurement-01,576,576,0,2884.502189087852,5.966439186383973,42.55626419182083,23.02003941248404,60.41986880769802,49.50149745461668,143.20170538511522,1323.922568000853,1.5062572466346884,0.5347222222222222,0,9437184,589824,0,0,0,experiments/dsv4-night-20260923/ratio20/results/O5C144-01/benchmark/c144/measurement-01
O5C144,ratio20,144,5,20,measurement-02,576,576,0,2918.5245714702637,5.939132452231813,42.25921285403949,22.87901589102694,61.48541891648783,49.170307201914206,142.11204604557167,1323.7087385670748,1.6873116029041884,0.5920138888888888,0,9437184,589824,0,0,0,experiments/dsv4-night-20260923/ratio20/results/O5C144-01/benchmark/c144/measurement-02
O5C144,ratio20,144,5,20,measurement-03,576,576,0,2885.634131305246,5.8544604507395785,42.55611895510444,22.975928374449722,62.879180312317125,49.38937014181142,143.4699499116851,1323.2267367769964,1.5998032649346505,0.5677083333333334,0,9437184,589824,0,0,0,experiments/dsv4-night-20260923/ratio20/results/O5C144-01/benchmark/c144/measurement-03
P4C144,ratio20,144,5,20,measurement-01,576,576,0,3357.142477735387,9.108420883533958,31.021178680863976,28.814654337766115,37.410696003457915,40.84308667405781,104.51688879290992,217.51989244949073,2.5783717556663177,0.7864583333333334,0,9437184,589824,0.0,9437184.0,99293921280.0,experiments/dsv4-night-20260923/ratio20/results/P4C144-01/benchmark/c144/measurement-01
