node,run_id,configuration,dataset,protocol,phase,round,accepted,protocol_status,case_status,known_event_lines,started_at,finished_at,duration_s,completed,failed,total_input_tokens,total_output_tokens,output_throughput,request_throughput,mean_ttft_ms,p95_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,spec_decode_acceptance_rate,spec_decode_acceptance_length
47,random-quick-01,tp4-off,random,quick,warmup,1,false,PASS,PASS,20,2026-09-19T16:32:12.374175+00:00,2026-09-19T16:35:43.551998+00:00,182.91658172383904,128,0,1048576,131072,716.5670753561743,0.699772534527514,6426.4463832296315,20550.020755873986,38.359058365535724,42.16892560438698,38.359058945158566,22.992744389921427,45667.763091172674,62587.460141116746,,
47,random-quick-01,tp4-off,random,quick,measurement,1,true,PASS,PASS,8,2026-09-19T16:35:43.552587+00:00,2026-09-19T16:39:16.426855+00:00,181.77682269643992,128,0,1048576,131072,721.0600232510667,0.7041601789561198,6227.636233314115,20375.56888358667,38.27415903815439,41.848418893536525,38.27415933365215,22.131322463974357,45382.10092934605,61392.076700134196,,
47,random-quick-01,tp4-off,random,quick,measurement,2,true,PASS,PASS,0,2026-09-19T16:39:16.427721+00:00,2026-09-19T16:42:47.649912+00:00,182.69305528514087,128,0,1048576,131072,717.4438009995916,0.7006287119136637,6391.6975906759035,20385.918380692594,38.33802602520881,42.00687392884255,38.33802654530109,22.520466055721045,45611.49821446452,61966.717923758544,,
47,random-quick-01,tp4-off,random,quick,measurement,3,true,PASS,PASS,0,2026-09-19T16:42:47.651932+00:00,2026-09-19T16:46:20.208369+00:00,182.86535989679396,128,0,1048576,131072,716.7677906519571,0.6999685455585518,6382.230128467199,20376.52919311076,38.3889681467548,42.05638082454004,38.38896870824819,23.037034412845966,45654.14454259735,61780.21976370364,,
47,govreport-quick-01,tp4-off,govreport,quick,warmup,1,false,PASS,PASS,52,2026-09-19T16:50:58.572252+00:00,2026-09-19T16:55:34.168675+00:00,249.79691155347973,128,0,1042149,131072,524.7142536105313,0.5124162632915344,9261.962937365752,32732.884209742762,51.92234906526734,68.76409239989623,51.922349628609965,26.769749401137233,62378.52603113424,77853.42840352096,,
47,govreport-quick-01,tp4-off,govreport,quick,measurement,1,true,PASS,PASS,0,2026-09-19T16:55:34.169150+00:00,2026-09-19T16:59:16.878821+00:00,197.22575963381678,128,0,1042149,131072,664.5785025412375,0.6490024438879273,5645.486703499046,19609.175189491358,42.60965145709199,45.92491033307676,42.60965204093958,26.891996245831248,49235.16014410416,64839.54775100574,,
47,govreport-quick-01,tp4-off,govreport,quick,measurement,2,true,PASS,PASS,0,2026-09-19T16:59:16.879559+00:00,2026-09-19T17:02:59.831681+00:00,197.2801915621385,128,0,1042149,131072,664.3951375053055,0.6488233764700249,5655.248428476625,19649.035497196015,42.61370088904755,45.95506899982858,42.61370150932471,26.822276646271348,49249.064437972265,64795.85616816766,,
47,govreport-quick-01,tp4-off,govreport,quick,measurement,3,true,PASS,PASS,0,2026-09-19T17:02:59.833664+00:00,2026-09-19T17:06:43.069745+00:00,197.06877632811666,128,0,1042149,131072,665.1079001057327,0.6495194336970046,5646.613829296257,19609.430423658334,42.57030830359715,45.82259713172301,42.5703088879355,26.81420426815748,49196.03922387614,64809.580334462225,,
