sample_id,node,configuration,workload,purpose,scope,gpu_group,deployment_count,tp,pp,dp,ep,global_capacity,prefill_tokens_per_rank,prefill_tokens_service,global_concurrency,concurrency,repetition,successful_requests,failed_requests,duration_s,output_tokens_per_s,requests_per_s,actual_input_tokens,actual_output_tokens,mean_ttft_ms,p95_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,output_tokens_per_s_common_window,start_skew_s,overlap_s,runner_gate,resource_status
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c32-c32-r01-node,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c32,performance,node,"0,1,2,3,4,5,6,7",2,4,1,1,off,64,8192,16384,32,32,1,128,0,120.88199100398924,1084.2971637989854,1.0588839490224466,1048576,131072,4880.142879233972,10757.971610716777,24.503089016141,27.535392372106053,24.503089368975157,18.18051680456847,29946.802942746217,36227.953825029545,1084.2971637989854,0.00013090693391859531,118.90828832809348,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c32-c32-r01-replica-0,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c32,performance,replica-0,"0,1,2,3",2,4,1,1,off,64,8192,16384,32,16,1,64,0,120.88199100398924,542.1485818994927,0.5294419745112233,524288,65536,4950.703094798882,10639.726386545222,24.67560143647042,27.469106790412106,24.675601758588016,18.212070572189987,30193.843364308123,36972.01798457535,542.1485818994927,0.00013090693391859531,118.90828832809348,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c32-c32-r01-replica-1,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c32,performance,replica-1,"4,5,6,7",2,4,1,1,off,64,8192,16384,32,16,1,64,0,118.90828832809348,551.1474508755194,0.5382299324956245,524288,65536,4809.582663669062,10646.140235208437,24.33057659581158,27.485994767744266,24.330576979362302,18.13037070678547,29699.76252118431,35176.57013658899,542.1485818994927,0.00013090693391859531,118.90828832809348,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c32-c32-r02-node,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c32,performance,node,"0,1,2,3,4,5,6,7",2,4,1,1,off,64,8192,16384,32,32,2,128,0,119.76621353602968,1094.3987968741214,1.0687488250723842,1048576,131072,4741.770222020023,10768.282199540408,24.51839027438666,27.794797165973208,24.518390542287523,18.375700706383213,29824.083472717575,36639.58837360261,1094.3987968741214,0.0004952730378136039,119.03924168401863,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c32-c32-r02-replica-0,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c32,performance,replica-0,"0,1,2,3",2,4,1,1,off,64,8192,16384,32,16,2,64,0,119.76621353602968,547.1993984370607,0.5343744125361921,524288,65536,4665.954720872833,10640.011098288229,24.681182336646764,28.01633738661831,24.68118265551578,18.43808979028836,29914.804251262467,37012.395453907084,547.1993984370607,0.0004952730378136039,119.03924168401863,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c32-c32-r02-replica-1,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c32,performance,replica-1,"4,5,6,7",2,4,1,1,off,64,8192,16384,32,16,2,64,0,119.03924168401863,550.5411414998824,0.5376378334959789,524288,65536,4817.585723167213,10661.31074491422,24.35559821212656,27.691116896678736,24.355598429059274,18.26242366223596,29733.362694172683,35916.50197521084,547.1993984370607,0.0004952730378136039,119.03924168401863,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c32-c32-r03-node,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c32,performance,node,"0,1,2,3,4,5,6,7",2,4,1,1,off,64,8192,16384,32,32,3,128,0,119.68452587991487,1095.1457511851675,1.069478272641765,1048576,131072,4739.644296279948,10768.992386257742,24.536857696766106,27.91555080478506,24.536858121542807,18.47860182169825,29840.849720071674,36831.250768370235,1095.1457511851675,0.00021512596867978573,119.25598589901347,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c32-c32-r03-replica-0,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c32,performance,replica-0,"0,1,2,3",2,4,1,1,off,64,8192,16384,32,16,3,64,0,119.68452587991487,547.5728755925837,0.5347391363208825,524288,65536,4664.81011349606,10646.287107939128,24.66252254564269,27.71245698226736,24.662522839385478,18.5501902946271,29894.570677688534,37613.28062109532,547.5728755925837,0.00021512596867978573,119.25598589901347,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c32-c32-r03-replica-1,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c32,performance,replica-1,"4,5,6,7",2,4,1,1,off,64,8192,16384,32,16,3,64,0,119.25598589901347,549.5405493146163,0.536660692690055,524288,65536,4814.478479063837,10658.615455427203,24.411192847889517,27.87886939873192,24.411193403700132,18.188487912993878,29787.128762454813,35712.14831939432,547.5728755925837,0.00021512596867978573,119.25598589901347,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c64-c64-r01-node,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c64,performance,node,"0,1,2,3,4,5,6,7",2,4,1,1,off,64,8192,16384,64,64,1,256,0,182.94158799399156,1432.9382557267936,1.3993537653581969,2097152,262144,6490.6288706388295,20704.271383554442,38.20161052588576,42.00810201782214,38.20161102294551,22.585823165718466,45570.87643861996,62054.65946075856,1432.9382557267936,0.0006435959367081523,182.1316627060296,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c64-c64-r01-replica-0,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c64,performance,replica-0,"0,1,2,3",2,4,1,1,off,64,8192,16384,64,32,1,128,0,182.94158799399156,716.4691278633968,0.6996768826790984,1048576,131072,6411.010388862451,20482.824948115733,38.379372003082615,42.04874143482597,38.37937257092826,22.621216654079035,45673.10794801597,61847.22630437463,716.4691278633968,0.0006435959367081523,182.1316627060296,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c64-c64-r01-replica-1,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c64,performance,replica-1,"4,5,6,7",2,4,1,1,off,64,8192,16384,64,32,1,128,0,182.1316627060296,719.6552101517753,0.7027882911638431,1048576,131072,6570.247352415208,20423.654491303016,38.0238490486889,41.911687572523796,38.02384947496275,22.485202352982014,45468.644929223956,61768.79860738408,716.4691278633968,0.0006435959367081523,182.1316627060296,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c64-c64-r02-node,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c64,performance,node,"0,1,2,3,4,5,6,7",2,4,1,1,off,64,8192,16384,64,64,2,256,0,183.93067277793307,1425.2326490236735,1.3918287588121812,2097152,262144,6571.678793585306,20706.193427729886,38.448664597014904,42.39240381229425,38.448665172906416,23.03631977410987,45904.66267633156,61931.93578251521,1425.2326490236735,0.00011343695223331451,183.81156447995454,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c64-c64-r02-replica-0,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c64,performance,replica-0,"0,1,2,3",2,4,1,1,off,64,8192,16384,64,32,2,128,0,183.93067277793307,712.6163245118368,0.6959143794060906,1048576,131072,6576.818659032142,20469.49588900315,38.45880942899936,42.26812111162138,38.4588100105701,22.823276865528896,45920.180704898485,61612.54076875047,712.6163245118368,0.00011343695223331451,183.81156447995454,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c64-c64-r02-replica-1,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c64,performance,replica-1,"4,5,6,7",2,4,1,1,off,64,8192,16384,64,32,2,128,0,183.81156447995454,713.0780937033696,0.6963653258821969,1048576,131072,6566.5389281384705,20428.51930865435,38.438519765030456,42.40637156358562,38.438520335242735,23.42833546572365,45889.144647764624,61815.57731527718,712.6163245118368,0.00011343695223331451,183.81156447995454,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c64-c64-r03-node,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c64,performance,node,"0,1,2,3,4,5,6,7",2,4,1,1,off,64,8192,16384,64,64,3,256,0,183.77014593710192,1426.4776178048132,1.393044548637513,2097152,262144,6492.695256890329,20731.08497777139,38.35554921421048,42.15890523459342,38.35554978972903,22.707403294043612,45730.42210302765,61888.24892177945,1426.4776178048132,0.0002605260815471411,182.58020713797305,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c64-c64-r03-replica-0,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c64,performance,replica-0,"0,1,2,3",2,4,1,1,off,64,8192,16384,64,32,3,128,0,183.76988541102037,713.2398200436589,0.6965232617613857,1048576,131072,6576.383914703911,20463.55836204602,38.41936395262706,42.219170839238984,38.41936451613948,22.84748341771774,45879.39323824139,61347.9288417031,713.2388089024066,0.0002605260815471411,182.58020713797305,PASS,accepted-background
gpu-6000d-45-dual-tp4-dsv4-node8-8192-1024-c64-c64-r03-replica-1,gpu-6000d-45,dual-tp4,dsv4-node8-8192-1024-c64,performance,replica-1,"4,5,6,7",2,4,1,1,off,64,8192,16384,64,32,3,128,0,182.5804676640546,717.8862102663171,0.7010607522132003,1048576,131072,6409.006599076747,20463.965798687415,38.291734475793895,42.02531004499918,38.29173506331858,22.335862938780338,45581.45096781391,62216.9478053518,713.2388089024066,0.0002605260815471411,182.58020713797305,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c32-c32-r01-node,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c32,performance,node,"0,1,2,3,4,5,6,7",2,2,2,1,off,64,8192,16384,32,32,1,128,0,114.83663792302832,1141.3778944647768,1.1146268500632586,1048576,131072,3947.047710826155,10103.406195651069,22.7981161868163,32.585813610938324,22.79811674987976,19.702505599707365,27269.52056993923,38110.17004395254,1141.3778944647768,5.12140104547143e-05,103.45044237107504,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c32-c32-r01-replica-0,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c32,performance,replica-0,"0,1,2,3",2,2,2,1,off,64,8192,16384,32,16,1,64,0,103.4504935850855,633.5010856772592,0.6186534039816984,524288,65536,3322.6889025390847,6143.962461955377,22.017160112439022,24.173164348608935,22.017160776135444,19.653006794396788,25846.243697564205,29408.324928669026,570.6889472323884,5.12140104547143e-05,103.45044237107504,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c32-c32-r01-replica-1,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c32,performance,replica-1,"4,5,6,7",2,2,2,1,off,64,8192,16384,32,16,1,64,0,114.83658670901787,570.6892017442173,0.5573136735783372,524288,65536,4571.406519113225,13520.048608659998,23.57907226119358,32.58817677979789,23.579072723624073,19.75842798128724,28692.79744231426,39477.244511811296,570.6889472323884,5.12140104547143e-05,103.45044237107504,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c32-c32-r02-node,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c32,performance,node,"0,1,2,3,4,5,6,7",2,2,2,1,off,64,8192,16384,32,32,2,128,0,108.77606097911485,1204.971009431625,1.1767295013980712,1048576,131072,3367.3879172592933,6201.099376683123,22.816999580752114,25.59960276364801,22.817000278984445,22.607427701586857,26709.178488368707,29668.70696779806,1204.971009431625,0.00018778606317937374,105.03005109995138,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c32-c32-r02-replica-0,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c32,performance,replica-0,"0,1,2,3",2,2,2,1,off,64,8192,16384,32,16,2,64,0,108.77606097911485,602.4855047158125,0.5883647506990356,524288,65536,3432.568933154471,6138.348984275942,23.210861960013087,26.430855056542704,23.210862553202777,22.880882024765015,27177.280718247857,30153.00187256653,602.4855047158125,0.00018778606317937374,105.03005109995138,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c32-c32-r02-replica-1,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c32,performance,replica-1,"4,5,6,7",2,2,2,1,off,64,8192,16384,32,16,2,64,0,105.03005109995138,623.973799057119,0.6093494131417178,524288,65536,3302.2069013641158,6144.386852800378,22.423137201491144,24.42108029231087,22.42313800476611,20.273001113673672,26241.076258489556,28243.398774735393,602.4855047158125,0.00018778606317937374,105.03005109995138,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c32-c32-r03-node,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c32,performance,node,"0,1,2,3,4,5,6,7",2,2,2,1,off,64,8192,16384,32,32,3,128,0,109.09338516695425,1201.4660632210664,1.1733067023643227,1048576,131072,3321.134149696263,6201.7983730416745,22.92958357653993,25.84022021345919,22.929584199202406,22.969569556880742,26778.09814849661,30174.570153845707,1201.4660632210664,0.0005726049421355128,105.26537858205847,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c32-c32-r03-replica-0,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c32,performance,replica-0,"0,1,2,3",2,2,2,1,off,64,8192,16384,32,16,3,64,0,109.09338516695425,600.7330316105332,0.5866533511821613,524288,65536,3273.3523290244193,6134.145130927206,23.44391690318274,26.93606103288614,23.443917508130962,23.278035421390086,27256.47932098036,30884.21427186695,600.7330316105332,0.0005726049421355128,105.26537858205847,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c32-c32-r03-replica-1,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c32,performance,replica-1,"4,5,6,7",2,2,2,1,off,64,8192,16384,32,16,3,64,0,105.26537858205847,622.5788657465581,0.6079871735806232,524288,65536,3368.915970368107,6146.117102698188,22.41525024989712,24.563562344927668,22.41525089027385,20.206755708204582,26299.71697601286,28308.559733402217,600.7330316105332,0.0005726049421355128,105.26537858205847,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c64-c64-r01-node,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c64,performance,node,"0,1,2,3,4,5,6,7",2,2,2,1,off,64,8192,16384,64,64,1,256,0,151.082332090009,1735.106920667764,1.6944403522146132,2097152,262144,4210.367737689012,11396.878434316022,32.58821126593887,34.87958151029827,32.58821186375739,25.74369791545905,37548.10786274447,45564.52387425816,1735.106920667764,0.00032649398781359196,149.6093908509938,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c64-c64-r01-replica-0,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c64,performance,replica-0,"0,1,2,3",2,2,2,1,off,64,8192,16384,64,32,1,128,0,149.60971734498162,876.0928255600141,0.8555593999609513,1048576,131072,4135.713274136833,11262.474029022265,32.481989109569355,34.9108766503293,32.48198969635614,25.87724638869986,37364.788133226284,45792.41584041156,867.553460333882,0.00032649398781359196,149.6093908509938,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c64-c64-r01-replica-1,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c64,performance,replica-1,"4,5,6,7",2,2,2,1,off,64,8192,16384,64,32,1,128,0,151.0820055960212,867.5553351500639,0.8472220069824843,1048576,131072,4285.0222012411905,11254.543802078111,32.69443342230838,34.83542225539606,32.69443403115863,25.55546992807649,37731.42759226266,45117.68049043021,867.553460333882,0.00032649398781359196,149.6093908509938,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c64-c64-r02-node,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c64,performance,node,"0,1,2,3,4,5,6,7",2,2,2,1,off,64,8192,16384,64,64,2,256,0,156.89673851104453,1670.8059229768294,1.63164640915706,2097152,262144,4178.9438075102225,11394.499320245814,33.493816580868035,36.65439247426018,33.493817037851784,30.517719872295856,38443.11816973823,45646.12847898388,1670.8059229768294,0.00013985508121550083,150.9506775039481,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c64-c64-r02-replica-0,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c64,performance,replica-0,"0,1,2,3",2,2,2,1,off,64,8192,16384,64,32,2,128,0,156.89673851104453,835.4029614884147,0.81582320457853,1048576,131072,4138.41693287668,11252.552991372064,34.260390440595664,39.0801386467071,34.26039076113876,30.826157436240464,39186.79635360604,45462.85146665177,835.4029614884147,0.00013985508121550083,150.9506775039481,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c64-c64-r02-replica-1,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c64,performance,replica-1,"4,5,6,7",2,2,2,1,off,64,8192,16384,64,32,2,128,0,150.9506775039481,868.310114054121,0.8479590957559775,1048576,131072,4219.470682143765,11262.080936285198,32.72724272114041,35.153932227039135,32.727243314564824,25.70158572634682,37699.43998587041,45633.567811647656,835.4029614884147,0.00013985508121550083,150.9506775039481,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c64-c64-r03-node,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c64,performance,node,"0,1,2,3,4,5,6,7",2,2,2,1,off,64,8192,16384,64,64,3,256,0,165.29784542694688,1585.888789553849,1.5487195210486806,2097152,262144,4096.442264111374,11396.793512743898,35.318230835910626,40.68178885482308,35.31823145603398,32.071623421506956,40226.99240924794,45881.27077993704,1585.888789553849,8.996494580060244e-05,156.82688581105322,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c64-c64-r03-replica-0,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c64,performance,replica-0,"0,1,2,3",2,2,2,1,off,64,8192,16384,64,32,3,128,0,156.82697577599902,835.7745811996931,0.8161861144528253,1048576,131072,3966.872880547271,11254.339668335157,34.40985984822144,38.39181716686328,34.40986047273757,30.19640428829007,39168.1595052778,46281.74820049898,792.9443947769245,8.996494580060244e-05,156.82688581105322,PASS,accepted-background
gpu-6000d-45-dual-tp2-pp2-dsv4-node8-8192-1024-c64-c64-r03-replica-1,gpu-6000d-45,dual-tp2-pp2,dsv4-node8-8192-1024-c64,performance,replica-1,"4,5,6,7",2,2,2,1,off,64,8192,16384,64,32,3,128,0,165.29775546200108,792.9448263447899,0.7743601819773339,1048576,131072,4226.011647675477,11263.51857448462,36.22660182359981,41.43472067947009,36.226602439330385,32.33242022106424,41285.82531321808,45368.24825136573,792.9443947769245,8.996494580060244e-05,156.82688581105322,PASS,accepted-background
gpu-6000d-45-dual-tp1-pp4-dsv4-node8-8192-1024-c32-c32-r01-node,gpu-6000d-45,dual-tp1-pp4,dsv4-node8-8192-1024-c32,performance,node,"0,1,2,3,4,5,6,7",2,1,4,1,off,64,8192,16384,32,32,1,128,0,134.1037295110291,977.3926532686047,0.9544850129576218,1048576,131072,4853.2401342445155,15260.746580036359,26.511142711944135,28.869989698316687,26.511143309163877,24.77784887305461,31974.139128563365,42405.47721151379,977.3926532686047,0.00021371303591877222,121.79917909600772,PASS,accepted-background
gpu-6000d-45-dual-tp1-pp4-dsv4-node8-8192-1024-c32-c32-r01-replica-0,gpu-6000d-45,dual-tp1-pp4,dsv4-node8-8192-1024-c32,performance,replica-0,"0,1,2,3",2,1,4,1,off,64,8192,16384,32,16,1,64,0,121.79917909600772,538.0660238140152,0.5254551013808743,524288,65536,3670.7228503382794,5646.84582070913,26.16370617247408,28.364327543208923,26.163706739331985,24.793373816646636,30436.19426477926,32494.98309599584,488.69632663430235,0.00021371303591877222,121.79917909600772,PASS,accepted-background
