node,run_id,configuration,dataset,protocol,phase,round,accepted,protocol_status,case_status,known_event_lines,started_at,finished_at,duration_s,completed,failed,total_input_tokens,total_output_tokens,output_throughput,request_throughput,mean_ttft_ms,p95_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,spec_decode_acceptance_rate,spec_decode_acceptance_length
48,off-quick-01,tp4-off,govreport,quick,warmup,1,false,PASS,PASS,28,2026-09-19T16:30:38.297665+00:00,2026-09-19T16:34:22.226885+00:00,198.2357058748603,128,0,1042149,131072,661.1926919096071,0.6456959881929757,5753.4518756801845,20038.979340065263,42.751619867579166,46.173176184371265,42.75162042936418,26.88566190190613,49488.35900021368,65186.99547280556,,
48,off-quick-01,tp4-off,govreport,quick,measurement,1,true,PASS,PASS,0,2026-09-19T16:34:22.227373+00:00,2026-09-19T16:38:07.399221+00:00,197.2624032497406,128,0,1042149,131072,664.4550499268662,0.6488818846942053,5661.094612769375,19665.01776375807,42.603822264261076,45.926477662619945,42.60382283037041,26.874167192727327,49244.80478910846,64836.67936362326,,
48,off-quick-01,tp4-off,govreport,quick,measurement,2,true,PASS,PASS,0,2026-09-19T16:38:07.400110+00:00,2026-09-19T16:41:51.910646+00:00,197.37482750508934,128,0,1042149,131072,664.0765778332106,0.6485122830402448,5654.478626318451,19644.928150111802,42.637387375938324,45.95585851875459,42.637387947396164,26.995719922706485,49272.52591190336,64836.517937853925,,
48,off-quick-01,tp4-off,govreport,quick,measurement,3,true,PASS,PASS,0,2026-09-19T16:41:51.913107+00:00,2026-09-19T16:45:37.078963+00:00,197.18616717029363,128,0,1042149,131072,664.7119414152606,0.6491327552883405,5657.479248038726,19663.090024003755,42.58823059784755,45.92983176706874,42.58823116995972,26.966023538261652,49225.23914963676,64847.70324528216,,
