case,phase,events,completed,failed,draft_acceptance,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms
C3H,warmup-01,2,128,0,0.4953908876710878,1493.2904393251838,1.4582914446534998,87.77394976106007,1042149,131072,3662.407350543617,2570.3218090347946,11330.395072343526,13189.564760222567,16.13051375854059,19.148222648255064,56.10524197609499,172.50399312470108,20163.92292553064,29001.95768782286
C3H,measurement-01,4,128,0,0.4906436594155246,1460.278325054915,1.4260530518114405,89.75823153101373,1042149,131072,3785.1654648493422,2803.429048974067,11284.17242676951,13168.003459102476,16.363715526725333,19.39073561184119,56.54985138294404,171.29054298857227,20525.24644868936,28476.019323768556
C3H,measurement-02,2,128,0,0.5087424761801937,1505.3560497314638,1.4700742673158826,87.07043096108828,1042149,131072,3959.135232970766,2893.832197471056,11268.844835530035,13137.962776268834,15.615252166780305,18.22500692083949,55.376547282163415,170.78650178737007,19933.53819958702,27012.359551369438
C3H,measurement-03,0,128,0,0.49375891771917774,1491.7401206571285,1.456777461579227,87.86517047102097,1042149,131072,3980.085933506416,3080.917436047457,11355.299119965639,13218.44572308357,15.879890193522948,19.382456076519883,55.12662773127475,169.7120859811547,20225.21360148039,27731.780017958954
C4,warmup-01,60,128,0,0.4995706094145886,1428.726834334109,1.3952410491544034,91.74042010703124,1042149,131072,1835.258682813219,928.698368021287,6150.007795880083,6909.482918211725,19.14007201021635,25.714841489040563,66.85546459888191,144.3756217893679,21415.552349264544,28743.98959813988
C4,measurement-01,4,128,0,0.4956683201145919,1452.0488152484963,1.4180164211411097,90.26693773898296,1042149,131072,1751.0198653335465,884.220872016158,6042.671902681468,6773.592626135797,19.194761331820164,26.24001249044865,66.67123518403821,140.89244265342128,21387.260707785572,29757.06261866143
C4,measurement-02,0,128,0,0.502425702811245,1461.287664162303,1.427038734533499,89.69623381795827,1042149,131072,1800.1544675025798,879.6913589467295,6147.343064582673,6949.243722647661,19.24093981868945,26.02609083771556,67.4561095052122,147.28949364507568,21483.635902021888,28704.06324909418
C4,measurement-03,2,128,0,0.501706612454526,1462.07066816945,1.4278033868842286,89.64819748699665,1042149,131072,1860.212100696117,1279.4766390579753,6042.985367815709,7065.122936721893,19.37636904751267,25.413137498576393,67.86912425707222,137.04439012799372,21682.23763630158,28836.257736955304
