case,round,events,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms
B2,1,0,741.5332207695235,0.7241535359077378,176.75809569796547,2097152,131072,7252.742125254372,5385.278083034791,20858.136275905417,24538.64414099488,36.04837180580033,40.69877937757583,36.048372410654316,20.630291511770338,44130.226482588114,60025.78863909002
B2,2,0,741.0679365672064,0.7236991568039125,176.86907438898925,2097152,131072,7253.552848444997,5388.311300484929,20861.064750084184,24531.096658027967,36.065847862347454,40.707909138026565,36.06584847898753,20.714759873226285,44148.915211626445,59982.11031616665
B2,3,0,740.6273050663029,0.7232688526038115,176.9743015189888,2097152,131072,7336.71990388666,5382.998833491001,20899.611431144876,24561.44020864042,36.01130748784547,40.71723409736746,36.01130809653391,20.695648004766554,44176.287463952576,60101.139467698515
B3A,1,0,615.358530807021,0.6009360652412314,213.00102856801823,2097152,131072,26558.784572889635,26457.773049012758,39825.06131332483,47604.69846852706,21.583577656642635,22.239975273973997,21.58357831978874,21.487163670826703,48638.78451563505,62467.518064740565
B3A,2,0,615.1930381833039,0.6007744513508827,213.05832781700883,2097152,131072,26568.39707796462,26459.79679800803,39819.58003918988,47617.049820378896,21.594488762547478,22.222496355654588,21.59448943784063,21.512001391965896,48659.55908205069,62505.92887351521
B3A,3,0,615.3400583329086,0.600918025715731,213.0074228469748,2097152,131072,26567.07633469705,26474.92314747069,39819.71822868798,47618.70783095365,21.579511538054437,22.225575140666695,21.579512211264547,21.541959786554795,48642.916638126735,62406.421401881365
B4,1,0,631.9115519713966,0.617101124972067,207.4214335710276,2097152,131072,25190.845749167238,24898.623051994946,38677.730266371495,46230.28469780577,21.7140629641491,22.32044662865796,21.71406370608518,21.367700293194503,47404.332161491766,61433.45870139309
B4,2,0,631.7647195899981,0.6169577339746075,207.46964168094564,2097152,131072,25182.753157008847,24901.23162441887,38661.08151728402,46217.1901099605,21.72034683138018,22.32147676670853,21.72034750725388,21.536377887241542,47402.66796551077,61406.3480695011
B4,3,0,631.8563723865761,0.6170472386587658,207.43954754294828,2097152,131072,25191.393794657415,24910.697263025213,38687.945225182906,46248.26875975007,21.718420418632444,22.31745903944312,21.718421102605355,21.43431885051541,47409.33788291841,61436.968322365996
