phase,completed,failed,duration,output_throughput,total_input_tokens,total_output_tokens,mean_ttft_ms,mean_tpot_ms,p95_ttft_ms,p95_tpot_ms,spec_decode_acceptance_rate,spec_decode_acceptance_length,spec_decode_num_drafts,spec_decode_draft_tokens,spec_decode_accepted_tokens,events
warmup-01,64,0,137.8573873010464,475.3898306289934,1048576,65536,11694.520788303635,54.795392045020854,29853.334023454223,91.81235883397913,48.52113043932508,3.4260565219662538,19143,95715,46442,19
measurement-01,128,0,215.77077860501595,607.4594569635251,2097152,131072,5035.19095442789,46.86069486344026,21276.544859108973,71.47609955772988,48.64869109947644,3.4324345549738218,38200,191000,92919,0
measurement-02,128,0,211.94332559313625,618.4294769990377,2097152,131072,4848.4802760140155,45.662438080023534,21268.751741026055,63.56293610689746,48.181038292562455,3.409051914628123,38467,192335,92669,0
measurement-03,128,0,204.41470568999648,641.2063141816041,2097152,131072,4819.88195496524,44.03148686146748,21274.49198679532,59.75315158140689,48.81227863046045,3.4406139315230226,38115,190575,93024,0
