case,group,C,round,cohort,N,pass_count,ttft_only,tpot_only,both,ttft_s,tpot_ms
O5C144,ratio20,144,measurement-02,remaining_3C,432,316,0,116,0,2.7723863870945666,42.87871618834113
O5C144,ratio20,144,measurement-03,full,576,327,84,145,20,5.8544604507395785,42.55611895510444
O5C144,ratio20,144,measurement-03,initial_C,144,26,84,14,20,15.680841168569007,39.91772971672955
O5C144,ratio20,144,measurement-03,remaining_3C,432,301,0,131,0,2.5790002114631028,43.43558203456273
P4C144,ratio20,144,measurement-01,full,576,453,123,0,0,9.108420883533958,31.02117868086398
P4C144,ratio20,144,measurement-01,initial_C,144,24,120,0,0,19.5765118619149,29.81461360716514
P4C144,ratio20,144,measurement-01,remaining_3C,432,429,3,0,0,5.619057224073644,31.423367038763597
P4C144,ratio20,144,measurement-02,full,576,451,124,1,0,9.199950262307741,30.746405825638835
P4C144,ratio20,144,measurement-02,initial_C,144,24,120,0,0,19.591691663094227,29.973031327842264
P4C144,ratio20,144,measurement-02,remaining_3C,432,427,4,1,0,5.736036462045579,31.004197324904357
P4C144,ratio20,144,measurement-03,full,576,446,129,1,0,9.241416775283142,31.020871713030676
P4C144,ratio20,144,measurement-03,initial_C,144,25,119,0,0,19.473452958311505,31.398202114368473
P4C144,ratio20,144,measurement-03,remaining_3C,432,421,10,1,0,5.830738047607021,30.895094912584742
O5C128,ratio20-c128,128,measurement-01,full,512,342,78,82,10,5.555951116263486,39.43174838891029
O5C128,ratio20-c128,128,measurement-01,initial_C,128,25,78,15,10,14.30539621772823,37.156412442539214
O5C128,ratio20-c128,128,measurement-01,remaining_3C,384,317,0,67,0,2.6394694157752383,40.190193704367324
O5C128,ratio20-c128,128,measurement-02,full,512,340,84,82,6,5.420778351719036,39.26755958442782
O5C128,ratio20-c128,128,measurement-02,initial_C,128,23,84,15,6,14.187899904432015,37.52426106745721
O5C128,ratio20-c128,128,measurement-02,remaining_3C,384,317,0,67,0,2.49840450081471,39.84865909008469
O5C128,ratio20-c128,128,measurement-03,full,512,357,76,67,12,5.454640783613286,39.09948537676283
O5C128,ratio20-c128,128,measurement-03,initial_C,128,29,76,11,12,14.243072603860128,37.24750765105079
O5C128,ratio20-c128,128,measurement-03,remaining_3C,384,328,0,56,0,2.5251635101976717,39.71681128533351
P4C128,ratio20-c128,128,measurement-01,full,512,406,106,0,0,8.317225876151497,29.339910914536866
P4C128,ratio20-c128,128,measurement-01,initial_C,128,24,104,0,0,17.933315723034866,29.18343452644413
P4C128,ratio20-c128,128,measurement-01,remaining_3C,384,382,2,0,0,5.11186259385704,29.392069710567778
P4C128,ratio20-c128,128,measurement-02,full,512,409,103,0,0,8.452305374400112,29.708487595621968
P4C128,ratio20-c128,128,measurement-02,initial_C,128,26,102,0,0,17.49969901116674,29.55347265247582
P4C128,ratio20-c128,128,measurement-02,remaining_3C,384,383,1,0,0,5.436507495477902,29.760159243337352
P4C128,ratio20-c128,128,measurement-03,full,512,402,110,0,0,8.662198286637476,29.00342443522561
P4C128,ratio20-c128,128,measurement-03,initial_C,128,25,103,0,0,17.755418013629424,29.94584354591838
P4C128,ratio20-c128,128,measurement-03,remaining_3C,384,377,7,0,0,5.6311250443068275,28.68928473166136
