round,node,requests,max_inflight,shared_duration_s,output_tokens,shared_window_output_tps,mean_ttft_s,mean_tpot_ms
measurement-01,http://10.90.1.46:31249,128,32,218.00556037400384,131072,601.2323712071233,6.34491957591672,45.81895884685824
measurement-01,http://10.90.1.48:31249,128,32,218.00556037400384,131072,601.2323712071233,6.3302686263668875,45.602027806197114
measurement-02,http://10.90.1.46:31249,128,32,221.28320981690194,131072,592.3269104260278,6.322358689192697,45.76948054836833
measurement-02,http://10.90.1.48:31249,128,32,221.28320981690194,131072,592.3269104260278,6.035006535584216,46.93548868958835
measurement-03,http://10.90.1.46:31249,130,32,220.89366671198513,133120,602.6429004574862,6.20704434974334,44.99622285606172
measurement-03,http://10.90.1.48:31249,126,32,220.89366671198513,129024,584.1000419818713,6.146480569622428,47.3907062382947
