node,engine,gpus,C,R,attempt,completed,failed,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms
45,vllm,0-3,32,1,1,128,0,676.8931415427321,0.6610284585378243,193.63765409303596,1048576,131072,7267.666788492534,5024.32256549946,22723.261415271547,26982.902527559785,40.15603860758474,44.36944914723515,40.156038844757035,22.82063385064248,48347.29428405171,67076.14067613611
45,vllm,0-3,32,2,1,128,0,671.6862037581311,0.6559435583575499,195.1387407790171,1048576,131072,7452.870721108866,5050.900811998872,22685.32930967339,26958.991231087715,40.33813619749479,44.82967422839324,40.338136426598986,23.159312157076783,48718.78405114603,66635.41642321215
45,vllm,0-3,32,3,1,128,0,673.6117412384332,0.6578239660531574,194.58093138196273,1048576,131072,7245.03865129509,5020.589658030076,22598.479201272123,26851.656292827105,40.40782377360603,44.592333868207284,40.40782401773958,23.149485111935064,48582.24237169407,67117.27938574621
45,sglang,4-7,32,1,1,128,0,583.8980179972859,0.5702129082004745,224.4775559430127,1048576,131072,7480.7597238618655,4757.013921014732,25804.80579652066,30559.629192569995,47.46822841469533,51.80995659632706,47.468228652678455,25.558452215045687,56040.7573920952,78745.3082237247
45,sglang,4-7,32,2,1,128,0,579.8272303108296,0.5662375296004195,226.05354344903026,1048576,131072,7492.075321959419,4761.2237605208065,25853.825292890535,30619.173364039747,47.842269949170124,52.107766018657514,47.84227018992617,25.786102062556893,56434.717479960455,79079.41962725307
45,sglang,4-7,32,3,1,128,0,586.695800830678,0.572945117998709,223.40708730899496,1048576,131072,7487.290379210208,4757.462175999535,25841.045233994366,30592.920087115494,47.19984923869555,51.40590386260412,47.19984947615502,25.043034501140937,55772.73615039576,78366.08456838292
