deployment,round,requests,throughput,ttft_s,tpot_ms,goodput,slo,good_requests,ttft_fail,tpot_fail,events,duration
ordinary4,measurement-01,416,2263.579614924281,5.458119480954338,39.18862970461098,1.5356785905412342,0.6947115384615384,289,72,63,0,188.19042069092393
ordinary4,measurement-02,416,2271.471648079673,5.479094585767318,38.8222180844033,1.557029656605094,0.7019230769230769,292,72,56,0,187.53656923701055
ordinary4,measurement-03,416,2234.774882149385,5.523201038893603,39.616921418303534,1.4479367006113615,0.6634615384615384,276,72,77,0,190.61606759706046
3P1D,measurement-01,416,2699.228528974153,9.51580075138946,26.130014148085372,2.078357303334215,0.7884615384615384,328,88,0,0,157.81694488902576
3P1D,measurement-02,416,2756.681971482815,9.27508126777684,26.245132207694958,2.1225954182466085,0.7884615384615384,328,88,0,0,154.527799871983
3P1D,measurement-03,416,2708.8322587827743,9.605680169213043,26.51907936436502,2.0730340021296207,0.7836538461538461,326,90,0,0,157.257430252037
