mode,phase,round,accepted,protocol,protocol_status,events,completed,failed,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms
ordinary,http-warmup,0,False,jit_clean,PASS,16,128,0,1028.4799375370458,1.0043749390010213,127.44244706793688,1042149,131072,4150.666757015642,3795.519889506977,10136.162861832416,11814.344257662306,26.9636724758973,29.453181191554652,26.96367306857223,20.369561697589234,31734.50369985858,38348.00332826562
ordinary,measurement,1,True,jit_clean,PASS,0,128,0,1027.497274282873,1.003415306916868,127.56432866596151,1042149,131072,4002.4562540820625,3139.611000486184,9983.629483106779,11719.737851517277,27.112794242562362,29.743038351683516,27.112794820202627,20.346820791019127,31738.84476422336,37892.78839989565
ordinary,measurement,2,True,jit_clean,PASS,0,128,0,1029.7109373167696,1.0055770872234078,127.29009205393959,1042149,131072,4033.6360876926847,3789.4507669843733,9971.610217069972,11596.186368718047,27.052461927721705,29.745495751400437,27.052462525775372,20.343448378844187,31708.304639751987,38222.07471671863
ordinary,measurement,3,True,jit_clean,PASS,0,128,0,1030.555775011228,1.0064021240344023,127.18574111000635,1042149,131072,3969.8669424869877,3795.7460915204138,9978.445305360947,11584.497082468588,27.088490795356712,29.56493480416321,27.088491344903993,20.389318495290354,31681.393026136902,38254.01621942873
pd,http-warmup,0,False,jit_clean,PASS,0,128,0,914.3538692191006,0.8929237004092779,143.34931410301942,1042149,131072,4271.076396385979,1337.60223450372,19869.66532518854,22979.35481371242,28.945060458016833,30.279669587631034,28.945061063987456,27.878205681918182,33881.8732449372,50808.132207900046
pd,measurement,1,True,jit_clean,PASS,0,128,0,913.9726082643418,0.8925513752581463,143.40911184297875,1042149,131072,4224.439156842891,1279.1328385355882,19947.258107940426,23039.616173175167,28.92292209472061,30.333237252598728,28.922922700196924,28.093770710984238,33812.58845974207,50743.4994242445
pd,measurement,2,True,jit_clean,PASS,0,128,0,912.2162959093054,0.890836226473931,143.68522091500927,1042149,131072,4249.049745273624,1264.969810436014,19949.864225549383,23037.496268382532,28.904537932038078,30.40340773355355,28.90453855747705,28.01784971379675,33818.39204974858,50834.529419749735
pd,measurement,3,True,jit_clean,PASS,0,128,0,915.5347717071858,0.8940769254952986,143.16441499604844,1042149,131072,4203.48237293274,1267.3502584802918,19970.992600941092,23041.1386066617,28.888166930750796,30.304252844199606,28.88816754681655,28.106609731912613,33756.077143090806,50653.754667978494
